serial,ASIC test result,baseline_channel_0,baseline_channel_1,baseline_channel_2,baseline_channel_3,baseline_channel_4,baseline_channel_5,baseline_channel_6,baseline_channel_7,s-curve_halfmax_channel_0,s-curve_halfmax_channel_1,s-curve_halfmax_channel_2,s-curve_halfmax_channel_3,s-curve_halfmax_channel_4,s-curve_halfmax_channel_5,s-curve_halfmax_channel_6,s-curve_halfmax_channel_7,s-curve_sigma_channel_0,s-curve_sigma_channel_1,s-curve_sigma_channel_2,s-curve_sigma_channel_3,s-curve_sigma_channel_4,s-curve_sigma_channel_5,s-curve_sigma_channel_6,s-curve_sigma_channel_7,s-curve_chi2ndf_channel_0,s-curve_chi2ndf_channel_1,s-curve_chi2ndf_channel_2,s-curve_chi2ndf_channel_3,s-curve_chi2ndf_channel_4,s-curve_chi2ndf_channel_5,s-curve_chi2ndf_channel_6,s-curve_chi2ndf_channel_7,Test_passed_channel_0,Test_passed_channel_1,Test_passed_channel_2,Test_passed_channel_3,Test_passed_channel_4,Test_passed_channel_5,Test_passed_channel_6,Test_passed_channel_7
15158,all channels OK,-2.9642857142857144,6.46875808616697,4.563380281690141,1.076427255985267,2.991957104557641,3.970149253731343,2.488013698630137,9.012626262626263,31.09836486900032,13.930360672442553,13.108413239540228,13.254487030180227,12.355423925279057,12.015379721707259,13.84891548768599,31.19521743398235,0.37453651971436186,0.293150746888587,0.33023129771202936,0.31741334857004727,0.2807438838457305,0.3015196428699677,0.24885016506101323,0.38061578637113547,119.26147276539146,40.79637707398515,4.717830364474451,1.7905909987163577,1.6047366305676023,12.063028686749174,46.64615251209986,131.92032288631125,OK,OK,OK,OK,OK,OK,OK,OK
15253,all channels OK,4.864168618266979,9.56541468602501,7.998432601880878,5.983606557377049,6.0,12.027434842249656,3.914285714285714,14.173014145810663,30.947849082802236,13.798740479167938,12.443928625828002,12.511483903235165,12.764906799864546,12.810009879593931,12.980342878024002,30.517237756039556,0.42231197012108657,0.2504619964735984,0.261741869872743,0.2350929501472862,0.1918278214898026,0.1845455738844134,0.3067976219827009,0.37843279630938575,197.76981050753201,33.33308517290392,0.4574287265484776,1.717133374909027,29.386401134704556,27.03879946343409,20.49682134306041,183.90847956859824,OK,OK,OK,OK,OK,OK,OK,OK
15252,all channels OK,5.934181607865819,5.421907325700997,5.0,8.018264840182649,7.997252747252747,7.024193548387097,4.985401459854015,6.752695417789758,28.969315789663533,12.696986081462823,12.699300902174505,12.374719142646288,11.619088549497013,12.50302875710767,12.297579517837358,28.515907012826176,0.39000852776877465,0.19932546109652047,0.21476828549769883,0.27077223756600854,0.21276703809275302,0.2507113440367455,0.2934206522415414,0.35022279103233983,181.57058155357277,34.01458824032648,35.716312620520945,0.8977472777693613,4.7534423305664,11.544200060985144,1.3154365743942211,169.71943175556834,OK,OK,OK,OK,OK,OK,OK,OK
15251,channel 0 s-curve failed ,7.993128896806209,7.693565359782242,7.997362869198312,6.003389830508475,5.049180327868853,8.50928641251222,11.036883703424916,5.922043010752688,31.856654884184653,13.79704158954455,13.572015149252925,13.842043834211244,13.800203329712666,13.745433735157743,14.621575611640477,31.27433972609366,0.28386613768681995,0.20419502745255075,0.24234139889682846,0.22471956287049055,0.19468462918845994,0.21648740503505007,0.2553056636719299,0.36320482349625777,242.05302518566387,44.85674119237164,11.01045167234122,39.75353443371337,32.064022833863824,28.388308911893635,26.207844911308015,126.49632774420681,s-curve fit failed,OK,OK,OK,OK,OK,OK,OK
15246,all channels OK,1.0050420168067227,-1.8344808903344565,-0.9933333333333333,-2.9538369304556356,3.996309963099631,7.997552019583844,8.766423357664234,4.393639207507821,28.09041675186251,13.363008258889284,13.185048753488559,13.482630857439458,11.448258504393328,11.850542986236421,12.780170559507699,28.633550069506313,0.40112523819789564,0.2550575987741784,0.27410084639227733,0.24787355333164882,0.20861897474959362,0.15391779162213326,0.19626298719078591,0.3212777775930754,128.67603339095834,0.6745826770213865,3.0003678307119483,3.0435558641649543,0.16955861436525185,20.760189395584327,13.734709599369607,170.7732545420778,OK,OK,OK,OK,OK,OK,OK,OK
15247,all channels OK,-1.9675650982183646,3.41074237054627,5.06,4.997539975399754,4.997676579925651,2.0,5.677083333333333,9.002392344497608,27.659065999823714,12.397996859683683,11.864184312186845,11.575303374343099,11.559780852654832,12.156038880782088,12.511998419808315,28.328711417453242,0.2750207849690793,0.27804970409736385,0.11701598376853159,0.1842740880793153,0.18988966342710425,0.29139964131277996,0.25022633479821527,0.3879845168670987,154.88739985802357,0.4722598339883853,18.145998492594252,0.4953360241986566,0.6949297497946456,140.2119488161562,1.4191896118902456,125.30094822889365,OK,OK,OK,OK,OK,OK,OK,OK
15248,channel 0 s-curve failed channel 2 s-curve failed channel 4 s-curve failed ,7.937937696208645,11.454232592270616,3.5451197053406998,5.920118343195266,10.504032258064516,3.913793103448276,2.8810068649885583,1.036144578313253,16.612928994380507,19.999999996432795,12.865682547751453,20.000000002665082,12.983351613906366,19.9999999968555,12.147580161803743,20.000000004695853,9.31481217877422,1.000000003245684,0.3412663437539888,0.9999999983148715,0.32757198496479817,1.0000000055294147,0.24001187306671248,1.0000000096995194,16877470.95779004,3.745777283426164e-22,454.17537124559465,2.0043408717943737e-30,562.3048444452569,3.7274179035237205e-35,36.31356812014963,8.513798784306925e-31,s-curve fit failed,OK,s-curve fit failed,OK,s-curve fit failed,OK,OK,OK
15248,all channels OK,7.997445721583652,11.43886746148717,3.5576923076923075,6.212328767123288,10.162162162162161,5.801282051282051,3.0034843205574915,3.057661788044437,29.605107234967868,13.983245387726909,13.10760743131238,13.506310770280587,13.226853352908806,13.262432937933877,13.79322589609182,32.738534693559025,0.37755232142197687,0.2957401945392747,0.2824964551097965,0.22964059282442062,0.29607148697326086,0.27973096163018807,0.19522622049073454,0.33073517739990793,159.77426600409925,17.87463074299034,5.921739052233509,0.5246973040289294,3.4648357487670727,2.1219059642118574,32.60685731740915,174.45709684558096,OK,OK,OK,OK,OK,OK,OK,OK
15249,all channels OK,-1.016695205479452,4.208784328989027,4.0009300162752846,1.0549019607843138,-0.9759036144578314,1.0299145299145298,5.033112582781457,-2.4986945169712795,28.505988720185233,13.492445291299497,12.730875496461271,12.959615631801704,13.148832031153384,12.88015728759151,12.999596930050778,28.805166087867633,0.36486885062271485,0.24405559794585155,0.16472453724008027,0.03486295605054211,0.28503920782902,0.14919646705023448,0.2656866418957198,0.3235301917504759,125.8416642818831,10.59404336919781,6.42692953744221,14.351860035594385,4.303128737194327,25.48514786333697,14.51437798814638,153.04435768402843,OK,OK,OK,OK,OK,OK,OK,OK
15250,all channels OK,3.1829787234042555,7.9346287397462465,8.0,4.997765363128492,7.803016022620169,5.7555555555555555,4.973025048169557,5.211089494163424,28.45411828069946,12.638849235831003,12.668592869958648,12.243950388575918,12.44467532231071,12.531121953576111,12.856748177579236,28.39759534557923,0.3621981348351884,0.19233350309598746,0.18268497202433454,0.269190747096165,0.23320682556517675,0.22015312568576828,0.2216298573065926,0.38526848462495805,115.3922292397223,9.82590683741508,4.4011882198372,16.660855667751232,1.5585428787437248,0.4892744207103696,27.2904638622711,114.11228102153527,OK,OK,OK,OK,OK,OK,OK,OK
15146,all channels OK,2.9833880433701383,0.9938773551446095,6.99861581051984,8.940677966101696,2.9931856899488927,6.455609756097561,6.619047619047619,12.890251775338928,28.019034071987157,12.165308883562165,11.861650493717258,11.888277660445535,11.630897051260217,12.444371057803796,12.41551225487212,27.23527728426669,0.39526409758497344,0.3322841031806804,0.19049046742487857,0.20858133572995233,0.18716290037498073,0.25894911395092857,0.26106834992937256,0.3755918386900033,154.38701236660975,3.7215146490865734,29.603979603328742,25.86809997271692,2.3976479076203483,2.3380762270352675,1.1911795380075778,112.61500959698071,OK,OK,OK,OK,OK,OK,OK,OK
15147,all channels OK,-0.006166122597025753,-4.017312707977336,1.003062787136294,4.894736842105263,3.0,-1.9994773215633892,-1.0872586872586874,2.0921658986175116,28.22838822303206,12.465467194565221,12.578065548970049,12.41468229361322,12.424408715066857,13.667540575614169,13.574431611018195,27.890547194587928,0.37950202517430826,0.2283576023906426,0.20011205046268557,0.23694834869084744,0.21913848199149044,0.23482608293963445,0.22929948011622994,0.3632732178521467,97.38781831588454,2.91679930199327,3.9656151097656314,1.3193612540081492,0.6286717349231662,17.393994304321115,10.14733504775964,124.74301350661217,OK,OK,OK,OK,OK,OK,OK,OK
15244,all channels OK,10.345771144278608,0.015112336263623138,3.9963295269168024,-1.972913616398243,2.9719887955182074,8.913303437967116,1.0593607305936072,-0.6077027948193592,28.659439242359277,13.536726885100267,12.556940748287287,13.483268780558337,12.58681128511636,12.65585165026534,13.343599221544897,29.935153082885442,0.3445629449486416,0.22278829686647159,0.19289657103811308,0.2221052109714094,0.1922142267772335,0.1711864665076489,0.26052613234872396,0.33879662623016227,134.33641060334668,4.216776810359918,0.014577370369800157,0.07116346744924325,0.3459303851017813,1.4736773904416562,0.5863215211136454,121.79528419633895,OK,OK,OK,OK,OK,OK,OK,OK
15245,all channels OK,3.101953739052324,8.822352989961333,8.92301496744748,14.026315789473685,3.6927698363372694,3.1991857506361323,3.0664580860934296,3.330473996372727,24.1977770249796,12.76620786301621,16.059825607479,12.433916106059586,8.996544689563548,8.001383123571097,10.676127176109047,27.097055726011373,0.4347321373819079,0.20026615769965614,0.3146602837962316,0.2590913686031095,0.01844693795845627,0.0362488093791261,0.2141394712824858,0.4438410064705002,111.12213746831524,11.232610105572595,13.953914065394228,2.636498409766611,1.8936973352595218e-87,5.203921192904834e-65,9.796618765919359,122.34258483703995,OK,OK,OK,OK,OK,OK,OK,OK
15141,channel 0 s-curve  out of range channel 1 s-curve  out of range channel 2 s-curve  out of range channel 3 s-curve  out of range channel 4 s-curve  out of range channel 5 s-curve  out of range channel 6 s-curve  out of range channel 7 s-curve  out of range ,nan,0.5654333095062397,nan,nan,nan,0.5339604000322606,nan,nan,20.0,1586.4288881391285,20.0,20.0,20.0,925.2093276163682,20.0,20.0,1.0,42.83697624835596,1.0,1.0,1.0,28.01232203384584,1.0,1.0,0.0,8.381865341591936,0.0,0.0,0.0,13.63699742597473,0.0,0.0,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range
15141,all channels OK,8.89880643487286,3.8156836400579643,3.7979334098737083,7.032040472175379,6.43859649122807,-1.0082956259426847,6.685314685314685,5.04510484235933,26.102108330869235,12.053186809049874,12.085804046563622,12.33744270628239,11.791702296522661,12.493472792119187,12.43198587847537,25.92819513122592,0.37183268071391085,0.29947717673252633,0.30852549010622127,0.27536024742452886,0.17004197429617407,0.23315326385889662,0.24895763142157623,0.33541526417969947,91.33684146856507,107.98549356757873,8.822160450741523,6.362838290381519,15.255036144582816,0.13710480124180596,0.10732128209726566,139.67701809455204,OK,OK,OK,OK,OK,OK,OK,OK
15142,all channels OK,2.983715766099186,6.048643898570235,3.005586592178771,8.137614678899082,8.9375,5.003636363636364,6.251533742331288,9.52557319223986,27.75579440238029,12.477894639136627,12.02580503110416,12.048465392664225,11.623995472603081,12.10480716913227,12.558459438315223,28.148449138850815,0.27800986428785696,0.2474004659844339,0.26065108445742574,0.27349208018030524,0.18208114601917988,0.29696351594239423,0.2183168430271326,0.3965192331269854,185.94521880715254,11.594284948006225,9.669275664702479,10.871516947876865,1.879587670368153,6.191767955486216,12.993714153066126,128.70454841039418,OK,OK,OK,OK,OK,OK,OK,OK
